Company,Counts
"Delta Offshore Energy, Viện Năng Lượng (Ministry of Commerce and Trade)",1
Vinamomin (Vietnam),1
TTC Corporation,1
Bac Ha Hydropower Company,1
China Everbright International Limited,1
"Solar Park Global, Long Thanh Infrastructure Development and Investment Company (Công ty cổ phần đầu tư và phát triển hạ tầng Long Thành)",1
Cong Thanh Group (Vietnam),1
Dak Me Hydro Power JSC.,1
Dinh Binh Hydropower JSC,1
Thac Mo Hydropower JSC.,1
Hoang Anh Lai,1
"FECON JSC, Acwa Power",1
Công ty cổ phần đầu tư xây dựng Vịnh Nha Trang,1
Công ty TNHH Điện gió Chính Thắng,1
Sa Pa Northern Electrical Development (Vietnam),1
Công ty TNHH Long Thành IA Lốp (Vietnam),1
Cao Nguyen (Công ty Cổ phần Đầu tư năng lượng Cao Nguyên),1
Truong Minh Co. Ltd,1
"Arman Holding Worldwide, Royale Star Holdings Pte., Ltd., Natural Energy Development Investment JSC",1
"Petrovietnam, AES",1
Cty TNHH Một thành viên Thủy nông Lai Châu,1
Cam Son Hydro Power JSC,1
Vietnam-China Electricity Investment Co. Ltd,1
Công ty CP Tân Hoàn Cầu Bến Tre,1
Petrovietnam (Vietnam),1
POSCO,1
Công Ty TNHH Điện Gió Mũi Dinh (SPV) which EAB Newenergy GmbH Corp is a sponsor (Germany),1
Samsung C&T Corporation,1
TATA Tập đoàn Tata,1
"Son Da, Hoang Lien Hydropower (Vietnam)",1
Cty Long Hưng (Vietnam),1
"IPA Investment, Bac Ha Energy JSC",1
Za Hung JSC.,1
Vinh Son Hydropower Investment JSC,1
Xim Vang Hydro Power JSC and Blue World Carbon SEA,1
MMC Corporation Berhad,1
Cty CP EVN LICOGI 16 (Vietnam),1
Song Da 4 JSC.,1
Binh Dien Hydropower JSC,1
Công ty CP Điện gió Phong Nguyên (Vietnam),1
The Ayala Group,1
"China Investment Corporation (19 PCT), AES (51 PCT), Posco (30 PCT)",1
Công ty TNHH đầu tư và phát triển điện mặt trời KN Vạn Ninh,1
Cavuci Energy Development Investment Co.,1
Dak Drinh Hydropower JSC,1
Đình Hải Thermal Power JSC (Công ty Cổ phần Nhiệt điện Đình Hải),1
Vietnam Electricity ,1
Central Region Hydropower JSC,1
Da Nhim-Ham Thuan- Da Mi Hydro Power JSC,1
China Power Engineering Consulting Group (70 PCT),1
Nothern 1 Electricity Investment and Development JSC,1
"Electricite de France, Pacific Corporation, Sojitz, Kyushu",1
CT TNHH Năng Lượng Everich Bình Thuận,1
"Tập đoàn Trường Thành Việt Nam, (Vietnam), Tập đoàn Sermsang (Thailand)",1
Lee & Man Paper Company (China),1
Na Loi Hydropower JSC,1
Song Da 5 JSC.,1
Truong Thanh Investment Construction and Development JSC,1
"Nhiệt điện Cái Cùng -- a JV betwen (1)Tập đoàn Điện lực Việt Nam - EVN, (2)Tập đoàn Sojitz Kyushu",1
Chi Khe Hydropower JSC,1
Ry Ninh Hydro Power Enterprise,1
Petrovietnam (Tập đoàn Dầu khí Việt Nam) -- looking for other investors,1
Power Plus Vietnam Company,1
Công ty Cổ phần Đầu tư Điện lực 3 (PC3-INVEST),1
Song Da 11 JSC,1
Trungnam Krong No (Vietnam),1
"Duy Phat Electricity Joint Stock
Company (Vietnam), Investment and Trade Consultancy
Company Limited (INTRACO - Vietnam)
",1
Xuan Thien DakLak (Công ty Trách nhiệm hữu hạn Xuân Thiện Ninh Bình),1
Công ty cổ phần Sông Đà 9,1
Công ty CP TTP Phú Yên -  a JV between B Grimm Power Public CL (Thailand) and CTCP TĐ Trường Thành Việt Nam,1
"Công ty CP Sữa Thông Thuậ, Công ty CP Năng lượng Hưng Bình",1
"Solkiss Ltd., EVN",1
Công ty TNHH Khu công nghiệp Texhong Việt Nam,1
Huong Son Hydropower JSC,1
Van Chan Hydropower JSC,1
Vietnam Urban and Industrial Zone Development Investment Corporation (IDICO),1
EGAT International (EGATi) (Thailand),1
Công ty cổ phần Điện gió Phong Huy (Vietnam),1
Viet Nam Electricity Development JSC (Vietnam),1
Yen Bai Electricity Investment and Developmet JSC.(FDI),1
"Power Engineering Consulting JSC, EVN",1
Dong Bac. EL JSC,1
CTCP Điện mặt tròi Vĩnh Hảo,1
Lao Cai Vietracimex Electricity JSC.,1
VRG Phu Yen JSC.,1
"OneEnergy, Korea Electic Power Corporation, Chugoku Electric Power",1
Công ty cổ phần Điện gió Phong Nguyên,1
Hanoi Electrical Equipment JSC.,1
DHD (Công ty Cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi (EVN - Phát Điện 1 subsidiary)),1
Me Kong Hydro Power Limited Liability Company,1
JinkoSolar Holding (China),1
Europlast Long Anh Solar Joint Stock Company (CÔNG TY CỔ PHẦN ĐIỆN MẶT TRỜI EUROPLAST LONG AN),1
Sumitomo Corporation,1
Nam Binh Wind Power Company,1
"Ialy Hydro Power Company, subsidiary of EVN (Vietnam)",1
"EVN, Tập đoàn Điện lực Việt Nam Genco No 1",1
ANPHA Hydro Power JSC,1
Dai Hai Electricity Investment and Development JSC EVN,1
"EVN, Vinh Son Song Hinh Hydropower JSC (VSH)",1
Công ty CP Đầu tư xây dựng và phát triển Trường Thành (Vietnam),1
"Mekong Wind Power JSC, a TTC Affiliate",1
Formosa Plastics Group,1
Cty CP Năng Lượng AMI Khánh Hòa,1
CTCP SD Trường Thành,1
CT TNHH Tài chính hạ tằng Shapoorji Pallonji,1
TTC and GEC (Tập đoàn TTC và Công ty Cổ phần Điện Gia Lai (GEC)),1
Sa San 3A Hydropower JSC EVN (Vietnam),1
"Gia Lai Electricity Joint Stock Company GEG, TTC Duc Hue Long An Joint Stock Company",1
"South East Asia Capital Group, Corporation",1
Mien Trung Power Investment and Development JSC,1
Phu Thanh My JSC.,1
Noth West VIWASWEEN Hydro Power JSC (Vietnam Water and Environment Investment Corporation – JSC),1
Toyo Engineering and CóntructionGroup Berhad,1
EVNGENCO3,1
Doosan Corp,1
Công ty Cổ phần Điện gió Hanbaram,1
"Southern Power (50 PCT), China Power International Development Company (45 PCT), and Vinacomin (5 PCT)",1
Bac Lieu Hacom Energy JSC,1
Petrovietnam (Tập đoàn Dầu khí Quốc Gia Việt Nam),1
"Công ty Công nghiệp Sài Gòn, Tổng Công ty Phát điện 2 và Công ty CP Kinh doanh điện lực TPHCM (Vietnam)",1
"Gia Lai Hydropower (Vietnam), TTC Duc Hue Long An Joint Stock Company (Vietnam)",1
Công ty TNHH Solar Bình Thuận (Vietnam) CÔNG TY TNHH ĐIỆN MẶT TRỜI VNECO - HOÀ THẮNG (Vietnam) Công Ty Cp Hòa Thắng Jsc (Vietnam),1
Construction Corporation No.1 Company Limited,1
Công ty Cổ phần Bắc Phương và Công ty TNHH năng lượng mặt trời TT.Sunglim (Vietnam),1
"EVN, Da Nhim - Ham Thuan Da Mi Hydropower Comapny",1
"Công ty cổ phần Xây lắp điện 1, Công ty CP Đầu tư xây dựng và thương mại Phú Điền",1
"OneEnergy, Electricity Vietnam",1
Nam He Hydrowpoer JSC,1
"Công ty Tata Power Limited -- subsidiary of Tập đoàn Tata Power Company Limited, Alphanam Group, EVN Tập Đoàn Điện lực Việt Nam",1
Nam Mo Hydro Power JSC,1
"China Power Engineering Consulting Group International Engineering Co., Ltd.",1
Vietnamese High Technology JSC,1
"PVN (Tập đoàn Dầu khí Việt Nam), Cty Gazprom International (Nga)",1
Forth Lake Hydropower JSC,1
An Khe - Ka Nak Hydro Power Co.,1
Thien Tan Group (Tập đoàn Thiên Tân),1
Song Ba Ha JSC.,1
"EVN, Da Nhim - Ham Thuan - Da Mi Hydropower JSC.",1
